url,city,price,price_per_sqm,description,district_name,street_address,area_m2,bedrooms,floor,upload_date,transaction_type,source
https://www.myhome.ge/pr/20961870/iyideba-3-otaxiani-bina-saburtaloze/,თბილისი,100999.0,1667.0,იყიდება 3 ოთახიანი ბინა საბურთალოზე,საბურთალო,ნუცუბიძის ქ. 183,60.6,2.0,15.0,2025-07-24 16:09:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21894940/iyideba-4-otaxiani-bina-saburtaloze/,თბილისი,279997.0,1806.0,იყიდება 4 ოთახიანი ბინა საბურთალოზე,საბურთალო,აფაქიძე ა. ქ. 11,155.0,4.0,15.0,2025-07-24 16:04:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21620013/iyideba-3-otaxiani-bina-vakeshi/,თბილისი,290237.0,3200.0,იყიდება 3 ოთახიანი ბინა ვაკეში,ვაკე,ფალიაშვილი ზ. ქ. 104,90.7,2.0,5.0,2025-07-24 16:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21706126/iyideba-3-otaxiani-bina-mtawmindaze/,თბილისი,239998.0,2372.0,იყიდება 3 ოთახიანი ბინა მთაწმინდაზე,მთაწმინდა,მთაწმინდის ქ. 12,101.18,3.0,2.0,2025-07-24 15:45:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21248559/iyideba-2-otaxiani-bina-nutsubidzis-ferdobze/,თბილისი,68999.0,1225.0,იყიდება 2 ოთახიანი ბინა ნუცუბიძის ფერდობზე,ნუცუბიძის ფერდობი,ჟღენტი ბ. ქ. 96,56.3,2.0,4.0,2025-07-24 15:39:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21681490/iyideba-3-otaxiani-bina-saburtaloze/,თბილისი,87999.0,1100.0,იყიდება 3 ოთახიანი ბინა საბურთალოზე,საბურთალო,დოლიძე ვ. ქ. 6,80.0,2.0,1.0,2025-07-24 15:24:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21628342/iyideba-3-otaxiani-bina-did-dighomshi/,თბილისი,94999.0,1462.0,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ასმათის ქ. 6,65.0,2.0,7.0,2025-07-24 15:10:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21868695/iyideba-2-otaxiani-bina-did-dighomshi/,თბილისი,69499.0,1219.0,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,არჩილ მეფის ქ.,57.0,2.0,11.0,2025-07-24 15:05:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21762775/iyideba-3-otaxiani-bina-did-dighomshi/,თბილისი,49000.0,838.0,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ბაგრატ III ქუჩა 25,58.5,2.0,6.0,2025-07-24 14:45:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21807907/iyideba-6-otaxiani-bina-isanshi/,თბილისი,122999.0,1218.0,იყიდება 6 ოთახიანი ბინა ისანში,ისანი,შირაქის ქ.,101.0,3.0,3.0,2025-07-24 14:41:00,იყიდება,myhome.ge
